gene_name	description	ebi_biotype
PF3D7-0212300	ERF1_eukaryotic_peptide_chain_release_factor_subunit_1%2C_putative	protein_coding
PF3D7-0212400	NUP390_nucleoporin_NUP390%2C_putative	protein_coding
PF3D7-0212500	NUP434_nucleoporin_NUP434%2C_putative	protein_coding
PF3D7-0212600	SPATR_secreted_protein_with_altered_thrombospondin_repeat_domain	protein_coding
PF3D7-0212700	SRR1-like_protein	protein_coding
PF3D7-0212800	MATE_multidrug_efflux_pump%2C_putative	protein_coding
PF3D7-0212900	ATEL1_arginyl-tRNA--protein_transferase	protein_coding
PF3D7-0213000	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0213100	SIS1_protein_SIS1	protein_coding
PF3D7-0213200	mitochondrial_respiratory_chain_complex_II_subunit%2C_putative	protein_coding
PF3D7-0213300	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0213400	PK7_protein_kinase_7	protein_coding
PF3D7-0213500	tetratricopeptide_repeat_protein%2C_putative	protein_coding
PF3D7-0213600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0213700	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0213800	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0213900	RTR1_domain-containing_protein%2C_putative	protein_coding
PF3D7-0214000	CCT8_T-complex_protein_1_subunit_theta	protein_coding
PF3D7-0214100	SEC31_protein_transport_protein_SEC31	protein_coding
PF3D7-0214200	mRPL13_ribosomal_protein_L13%2C_mitochondrial	protein_coding
PF3D7-0214300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0214400	protein_LTV1%2C_putative	protein_coding
PF3D7-0214500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0214600	STK2_serine/threonine_protein_kinase_STK2%2C_putative	protein_coding
PF3D7-0214700	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0214800	conserved_Plasmodium_membrane_protein%2C_unknown_function	protein_coding
PF3D7-0214900	RON6_rhoptry_neck_protein_6	protein_coding
PF3D7-0215000	ACS9_acyl-CoA_synthetase	protein_coding
PF3D7-0215100	RING_zinc_finger_protein%2C_putative	protein_coding
PF3D7-0215200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0215300	ACS8_acyl-CoA_synthetase	protein_coding
PF3D7-0215400	WD_repeat-containing_protein%2C_putative	protein_coding
PF3D7-0215500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0215600	GET2_Golgi_to_ER_traffic_protein_2	protein_coding
PF3D7-0215700	RPB2_DNA-directed_RNA_polymerase_II_subunit_RPB2%2C_putative	protein_coding
PF3D7-0215800	ORC5_origin_recognition_complex_subunit_5	protein_coding
PF3D7-0215900	DHHC11_palmitoyltransferase_DHHC11%2C_putative	protein_coding
PF3D7-0216000	DEAD/DEAH_box_helicase%2C_putative	protein_coding
PF3D7-0216100	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0216200	Alba_domain-containing_protein%2C_putative	protein_coding
PF3D7-0216300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0216400	VPS45_vacuolar_protein_sorting-associated_protein_45	protein_coding
PF3D7-0216500	WD_repeat-containing_protein%2C_putative	protein_coding
PF3D7-0216600	sugar_transporter%2C_putative	protein_coding
PF3D7-0216700	ATG11_autophagy-related_protein_11%2C_putative	protein_coding
PF3D7-0216800	TMEM121_domain-containing_protein%2C_putative	protein_coding
PF3D7-0216900	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0217000	conserved_Plasmodium_membrane_protein%2C_unknown_function	protein_coding
PF3D7-0217100	ATP_synthase_subunit_alpha%2C_mitochondrial	protein_coding
PF3D7-0217200	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0217300	AP2S_AP-2_complex_subunit_sigma%2C_putative	protein_coding
PF3D7-0217400	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0217500	CDPK1_calcium-dependent_protein_kinase_1	protein_coding
PF3D7-0217600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0217700	E2F-associated_phosphoprotein%2C_putative	protein_coding
PF3D7-0217800	RPS26_40S_ribosomal_protein_S26	protein_coding
PF3D7-0217900	thioesterase/thiol_ester_dehydrase-isomerase%2C_putative	protein_coding
PF3D7-0218000	RFC2_replication_factor_C_subunit_2%2C_putative	protein_coding
PF3D7-0218100	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0218200	SUZ_domain-containing_protein%2C_putative	protein_coding
PF3D7-0218300	rRNA_methyltransferase%2C_putative	protein_coding
PF3D7-0218400	DDX47_ATP-dependent_RNA_helicase_DDX47%2C_putative	protein_coding
PF3D7-0218500	SNRPD2_small_nuclear_ribonucleoprotein_Sm_D2%2C_putative	protein_coding
PF3D7-0218600	patatin-like_phospholipase%2C_putative	protein_coding
PF3D7-0218700	PRP45_pre-mRNA-processing_protein_45%2C_putative	protein_coding
PF3D7-0218800	ribonuclease_P	ncRNA
PF3D7-0218900	Plasmodium_RNA_of_unknown_function_RUF2	ncRNA
PF3D7-0219000	small_nucleolar_RNA_snoR01	snoRNA
PF3D7-0219100	saccharopine_dehydrogenase%2C_putative	protein_coding
PF3D7-0219200	RPS30_40S_ribosomal_protein_S30	protein_coding
PF3D7-0219300	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0219400	ribosome_associated_membrane_protein_RAMP4%2C_putative	protein_coding
PF3D7-0219500	pseudouridine_synthase%2C_putative	protein_coding
PF3D7-0219600	RFC1_replication_factor_C_subunit_1	protein_coding
